"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"pop_mu[1]",-0.707721004694875,0.000656023995811589,0.040245698450974,-0.787013753557396,-0.734816886366226,-0.707551795844515,-0.680722021911421,-0.628776270327387,3763.5655747332,1.0000181237908
"pop_mu[2]",0.839562087878545,0.00102212822812953,0.0819221855690341,0.679271053615414,0.785354216288715,0.839607738303398,0.894737547562575,1.00066585274036,6423.80420824298,1.00038477829418
"pop_mu[3]",0.30925333217509,0.000343299553202167,0.0435595084319396,0.223523599616762,0.280337965414663,0.308976805670163,0.338314515343764,0.395306723886543,16099.762290521,1.00016955978388
"pop_mu[4]",-5.08641968634293,0.00225526557941872,0.155148423823543,-5.39235113032553,-5.19030800397796,-5.08628411058092,-4.98187187002422,-4.7842436855819,4732.59513039614,1.00022727882999
"pop_mu[5]",0.881131153692596,0.00145545639589956,0.103594530844901,0.678176630879612,0.811526755295632,0.880844209809064,0.950969515048778,1.08515606018708,5066.11749692748,1.00010222212111
"tau[1]",0.433502446913676,0.000338478166775876,0.0304109115581931,0.378429878738698,0.412031833472058,0.431946980795779,0.453311893961569,0.497196283485651,8072.30487653365,1.00062649473684
"tau[2]",0.873560764996118,0.000629593621649801,0.0663168685053985,0.752825779359018,0.827890311209876,0.870463447041556,0.916060656056766,1.01272996218686,11095.0019261903,1.00048674581139
"tau[3]",0.39530573192927,0.00032209368406815,0.0398455722163539,0.323251425242084,0.367460698600252,0.393279276064408,0.420584192792156,0.479624521467237,15303.6744472031,1.00009353389191
"tau[4]",1.76020646065996,0.00137157087123921,0.127981835343594,1.53090973609472,1.67117339383431,1.75324112356636,1.84167283266219,2.03152046372241,8706.83193462259,1.00009612132444
"tau[5]",1.11329848507863,0.000827372333713233,0.0811900364588894,0.965290745828976,1.05681373585478,1.1094140654238,1.16632295977507,1.28285250191606,9629.49437410829,1.00044683660295
"L[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"L[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,5]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,1]",-0.569836702201447,0.000655406017599014,0.0675666849411499,-0.690857613417033,-0.617285664540022,-0.573925214378475,-0.526011641309986,-0.425972913602144,10627.8244908375,1.00006614143191
"L[2,2]",0.817653141975119,0.000453405536680937,0.0465229359506675,0.722990842249328,0.786739098010476,0.818907716594177,0.850477367838211,0.904735915541189,10528.3566940092,1.00007369717646
"L[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[2,5]",0,NA,0,0,0,0,0,0,NA,NA
"L[3,1]",0.135142699360637,0.00083943956435412,0.118071687044646,-0.102356075143713,0.0557674967687943,0.138032279215511,0.216930570686628,0.358267911915862,19783.9346271738,1.00008468605312
"L[3,2]",0.0631938296724158,0.0011358123942567,0.128116377798145,-0.188588961932154,-0.0236204241907808,0.0650062323990221,0.151224790924048,0.31095068316262,12723.192438429,1.00008285858911
"L[3,3]",0.973051065658451,0.000168841750037993,0.0236782107601404,0.911313461611843,0.961795783795538,0.979417991476391,0.990948068285741,0.999165973496613,19666.9980130482,0.999989969604527
"L[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[3,5]",0,NA,0,0,0,0,0,0,NA,NA
"L[4,1]",0.255756240372946,0.00113712904600137,0.0852985899129205,0.0843395090052125,0.199024612839511,0.258026245431551,0.314371542665833,0.41729983247815,5626.83522672357,1.00042685342811
"L[4,2]",-0.284174152067308,0.00134498842400822,0.085821576570576,-0.445978325481912,-0.343778961151386,-0.286196091352395,-0.227187575920752,-0.110805637209222,4071.51354407777,1.00027385901589
"L[4,3]",0.0646055679121894,0.00182853346901113,0.101099010131517,-0.135529253370976,-0.0038068780701711,0.0665532451710395,0.134120678617727,0.259477117690323,3056.94749053824,1.00096969828178
"L[4,4]",0.907522798254356,0.00051059200449079,0.034651656932621,0.832496956897957,0.885438952179276,0.910233214576168,0.932694092408564,0.96701304031115,4605.7460945196,1.00005591699826
"L[4,5]",0,NA,0,0,0,0,0,0,NA,NA
"L[5,1]",-0.730164059703575,0.000471508481574206,0.0473033038158308,-0.812644096882255,-0.76371702906558,-0.733557504795671,-0.700677162931809,-0.627717371584382,10064.7717427696,1.00039905861435
