"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"pop_mu[1]",-0.599342033330458,0.0010985652676228,0.0462120020782499,-0.691941592033912,-0.629838291620917,-0.598945555130495,-0.568052448107677,-0.511435391524874,1769.52963370818,1.00218301222649
"pop_mu[2]",-1.53664501367168,0.00112478987109344,0.0784193348575116,-1.69067905646274,-1.58896093250812,-1.5367740357224,-1.48393447120789,-1.38303812380972,4860.75257700842,1.00088677625022
"pop_mu[3]",0.388963210182089,0.000410105112659453,0.042951744779466,0.304651994485748,0.360384210375016,0.38885443664559,0.417264401191415,0.473907051602996,10969.1065139868,1.00010613585076
"pop_mu[4]",-4.80014006729451,0.00363458642535452,0.178832668084799,-5.1499752894602,-4.91995587870526,-4.79844052560719,-4.67956571983383,-4.45278361806536,2420.9382467508,1.00221533758151
"pop_mu[5]",-1.89173469565908,0.00162546199806146,0.0877928186272567,-2.06469525686156,-1.95067408392009,-1.89077197201009,-1.83219556388564,-1.72035352540788,2917.18749963203,1.00188496355188
"tau[1]",0.508895342427061,0.000466619374409121,0.0368370667020029,0.442151569630301,0.483494977405456,0.50697999284477,0.53236279280464,0.586172783844724,6232.24541522733,1.00016177571681
"tau[2]",0.834435172484629,0.000727935469499568,0.0655167640232495,0.716013247467378,0.788697193231585,0.831084870522325,0.875743945756224,0.973789292293197,8100.63594562605,1.00065898368763
"tau[3]",0.397713694974121,0.000331528544427902,0.037109016753978,0.330783169513314,0.371781941481291,0.395712873349749,0.421306469734062,0.476401537047273,12529.0182257957,1.00053022768852
"tau[4]",1.98064845302989,0.00201416758575437,0.145614352393888,1.71701078777782,1.8790016979157,1.97298537951953,2.07327935987869,2.28938524105425,5226.57469049053,1.00062427923491
"tau[5]",0.948594170915115,0.000837144245733007,0.0697512471159166,0.821474883547909,0.899785507154387,0.944978716881706,0.99381951693001,1.09470793250236,6942.29974635872,1.00047489470584
"L[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"L[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"L[1,5]",0,NA,0,0,0,0,0,0,NA,NA
