"dataset","task","elpd_diff","se_diff","z","p","winner"
"1","DD",-31.7593471121992,53.1525265844545,-0.597513404404898,0.550164660293102,"SVD"
"1","RDM",455.698340378415,53.9012470741241,8.45431905780855,2.80720744558422e-17,"SVR"
"2","DD",127.09675599404,27.328259370335,4.65074464757183,3.30738638522377e-06,"SVR"
"2","RDM",14.618812877496,8.97129613713754,1.6295095662911,0.103205191415987,"SVR"
"3","DD",-114.220500425265,24.1835765908311,-4.72306071007588,2.32321460041135e-06,"SVD"
"3","RDM",129.503542814863,17.5573749321233,7.37601966783319,1.63091932276337e-13,"SVR"
