"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"3-RDM-SVR-H",0,0,-3075.33957315011,57.4085499608776,319.475008701625,12.3987004798218,6150.67914630023,114.817099921755
"3-RDM-SVD-H",-129.503542814863,17.5573749321233,-3204.84311596496,62.950866693136,357.000752482491,18.0670272733395,6409.68623192992,125.901733386272
