"dataset","elpd_diff","se_diff","z","p","winner"
"1",-149.701046115331,69.213877594039,-2.16287616471041,0.0305507054785489,"SVD"
"2",-37.6194054701912,28.5634489835519,-1.31704702369291,0.187822862834383,"SVR"
"3",-205.309443040731,21.9452119615679,-9.35554613918903,8.31689211142155e-21,"SVD"
