"dataset","svd_elpd","svd_se","svr_elpd","svr_se","diff","se","z","p","winner"
"1",-21522.8176352434,161.642129644665,-21376.8734131834,156.71794044591,145.944222060032,225.141490919977,0.648233346344435,0.516834037079743,"SVR"
"2",-4236.53882585376,70.3720475290838,-4104.43931423236,64.2805583470526,132.099511621403,95.3111496879796,1.38598172463408,0.165752483984312,"SVR"
"3",-6498.15353129632,88.5116296977648,-6571.38216357139,87.3751709434839,-73.228632275067,124.373345573548,-0.588780754729824,0.556008357596142,"SVD"
