"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"gm",0.205989917145287,0.0019338766258047,0.150881230195481,-0.0914925431158448,0.104878684882349,0.206763268203082,0.307666697061824,0.499606410851368,6087.13458895115,1.00052307254184
"gs",0.96036501321692,0.00106506454754076,0.119259498781353,0.756760753006038,0.876229877113134,0.95021635910858,1.03256774983854,1.2232796423923,12538.1685039768,1.00045563302475
"gamma_raw[1]",0.978283660297102,0.00239160651076683,0.246988383342927,0.505101035365169,0.809282718884123,0.973703655079235,1.14455613738637,1.47057299541803,10665.3128879676,1.00063981872409
"gamma_raw[2]",0.862390047057152,0.00235420136420576,0.242001683183436,0.394950694187771,0.69801323162865,0.860215615423846,1.02381306252511,1.34611472009496,10566.9477302933,1.0004253248197
"gamma_raw[3]",-0.407832993941648,0.00218320892996509,0.284030997250993,-0.996693230132896,-0.592595274762298,-0.396639449557053,-0.212545569410614,0.121925287531558,16925.4755264457,1.00008097262417
"gamma_raw[4]",1.07837970678144,0.00245748586551938,0.263418554586813,0.577583786254637,0.897746195091419,1.07459337185321,1.2525174070938,1.60796981766937,11489.7523374603,1.00039448403667
"gamma_raw[5]",-1.21362275661684,0.00244812014296652,0.388490260079926,-2.04266292909359,-1.45535179322739,-1.18933584917836,-0.943882311163222,-0.516113972517511,25182.2664863126,0.999955111612502
"gamma_raw[6]",-1.46511069757648,0.00253860942881441,0.385634330369918,-2.27207191922279,-1.71152331528228,-1.44452107946935,-1.19421586610717,-0.763633594077321,23075.9506166471,1.00000219362954
"gamma_raw[7]",0.205297934148769,0.00217787295207468,0.24030688499271,-0.275490771035756,0.0453424930925857,0.20794817575004,0.369360134351225,0.668741469881475,12174.9544554321,1.00019169694692
"gamma_raw[8]",-1.47818365423953,0.00258706273236992,0.418307549000167,-2.37312025683546,-1.74367521945468,-1.44935456582326,-1.18234513337934,-0.739445017177149,26144.3280738226,0.999949837111087
"gamma_raw[9]",-0.57659086125944,0.00222172198690402,0.30055455581234,-1.20532209288097,-0.769483409763321,-0.563733200756789,-0.368580604806687,-0.0248108757021442,18300.6790605271,0.999928397752632
