"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mm",-1.26072176443254,0.00109253577423348,0.084514772572328,-1.42607717874526,-1.31634008351717,-1.26117582535502,-1.20494021715965,-1.09244051046903,5984.03219223548,1.00019140861804
"ms",0.522824447354966,0.000681676922790059,0.0670999475107581,0.406881312872721,0.47596781620734,0.517092653349651,0.563994058712268,0.669737711517908,9689.18341759864,1.00070781355868
"mu_raw[1]",-1.0782334085144,0.00267633605161768,0.315831435048126,-1.71204223337596,-1.28765031914291,-1.07358006649814,-0.862699224177053,-0.476503126177514,13926.0970898682,1.00022418059913
"mu_raw[2]",-0.398975977928866,0.00250843474153222,0.321125105369753,-1.02411887323021,-0.612196869691255,-0.401824979025775,-0.18444687874408,0.235038554056716,16388.6396215717,1.00004768641571
"mu_raw[3]",1.17554017079675,0.00291136779558515,0.381208952759318,0.481732474448675,0.91036598213983,1.1563541436964,1.41721667376184,1.98078225779156,17144.7847007355,1.00019289830003
"mu_raw[4]",-1.36083906621859,0.00278856226078436,0.327709271549565,-2.03516955047062,-1.57606558777453,-1.35089393607493,-1.13562904004528,-0.74436486713834,13810.7341758016,1.00028531203825
"mu_raw[5]",0.124811772316815,0.00247938071614178,0.316039133499073,-0.474577178809813,-0.0897376487724782,0.118207883867031,0.328936799244626,0.768953289124474,16247.8270154672,1.00012938229889
"mu_raw[6]",1.125150228725,0.0027667995393515,0.337953602154083,0.508152797600448,0.892136760307479,1.11013491282141,1.34293580569402,1.82728084466735,14919.6546416615,1.00012237043664
"mu_raw[7]",0.034692688950788,0.00249070475781895,0.319500532090889,-0.573864476938965,-0.181831310595604,0.0277817343052576,0.24365814112866,0.680203291715868,16455.0297116794,1.0000300988142
"mu_raw[8]",0.177221583644827,0.00266919132886686,0.386142848246019,-0.540847450561015,-0.0873274103988926,0.165448237635509,0.42731506587709,0.974367117951157,20928.4266676343,1.00001254181011
"mu_raw[9]",-0.594528669749911,0.00246079193252733,0.315223143575733,-1.22078605118452,-0.803511520764472,-0.593085803275643,-0.382193265999748,0.0179308481917501,16409.1620075476,1.00003257373332
"mu_raw[10]",-1.29688845089313,0.00274476722478518,0.320727061517239,-1.94461814336466,-1.50923651470535,-1.28902568715402,-1.07755832328136,-0.688739026345148,13654.0086061861,1.00016094560877
"mu_raw[11]",-0.937129207956885,0.00260131755556224,0.307891748538384,-1.55696211159597,-1.14218095419781,-0.934201265943732,-0.726641063204291,-0.350566674193967,14009.0716422434,1.00018626551245
"mu_raw[12]",0.787073217324352,0.00263804218853788,0.324234084056137,0.189594379546156,0.562321566794323,0.771878968435371,0.995605490071611,1.46258657685744,15106.152340443,1.00010668304857
"mu_raw[13]",0.342820574407941,0.00262987040220949,0.364321050898926,-0.343840653259409,0.092869068311159,0.332920668246964,0.580052235868881,1.09506678655781,19191.0986248034,1.00010825926071
"mu_raw[14]",0.836529618551936,0.00274191050527901,0.378133247466468,0.143429623116496,0.577719290872214,0.815636304576905,1.07947627262414,1.63313075979551,19018.8029133518,1.00008240245687
"mu_raw[15]",-0.788376305297368,0.00250945599456154,0.303005021561321,-1.39308426616107,-0.988923275292688,-0.780999536942189,-0.582939173710328,-0.205136106569885,14579.4279206468,1.00014421052354
"mu_raw[16]",-1.00222694703975,0.00266268648970268,0.30804206053825,-1.6276038379101,-1.2032891628714,-0.996685920624814,-0.790911235628937,-0.413238659117919,13383.8163953291,1.00010037859318
"mu_raw[17]",-0.614932636129923,0.00322141103717366,0.609644644519574,-1.80863728032724,-1.02444098817048,-0.617963317615343,-0.212545020057707,0.586429093639751,35814.6937153269,1.00001882140063
"mu_raw[18]",-0.085302405685784,0.00241094091836312,0.309144104857765,-0.680542924579432,-0.292244275409205,-0.0904790943705708,0.117174332151194,0.538710808923379,16441.7788640987,1.00006409486024
"mu_raw[19]",0.403589128653742,0.00257888943641557,0.370782706200076,-0.289852014230661,0.151160199676352,0.392181114445943,0.641496285364724,1.16230612733218,20671.5714694722,1.00003550204639
"mu_raw[20]",0.428561131455897,0.00246511880333343,0.309377380865014,-0.157448650909623,0.218172822105807,0.420128944775779,0.62980495681904,1.06399150918487,15750.7561592717,1.00000122921416
"mu_raw[21]",0.0419317654964874,0.00234425161810311,0.286847689128265,-0.509009724521718,-0.150991515757822,0.036979504744329,0.230390142053127,0.62279278321678,14972.4979444853,0.999972414985961
"mu_raw[22]",-0.0881212207049286,0.00237862945277456,0.312532619658102,-0.688565421530826,-0.299417042416523,-0.0928656962218632,0.116932611298741,0.539007448428799,17263.8287852132,0.999963230740253
"mu_raw[23]",0.907964227857562,0.00276183761391049,0.336200053044279,0.278991200803463,0.675483608947381,0.895445756311934,1.1263169630882,1.60074218023395,14818.3304432926,1.00000896257833
"mu_raw[24]",1.14459959523859,0.00275537785008991,0.33279762663036,0.529091195258373,0.913968756747244,1.1323926040167,1.36008170985958,1.8414527162967,14588.079288025,1.00013839669783
"mu_raw[25]",0.0786509127352811,0.00255632550991083,0.353447051492474,-0.591836049584817,-0.160966183645773,0.0699402232559056,0.308994531971618,0.799346270673334,19116.8537760554,1.00000385632343
"mu_raw[26]",-0.136028796608129,0.00236339812058289,0.3138247408395,-0.744559805686985,-0.346888662881742,-0.139493386547916,0.0700280030532115,0.490386902685253,17631.9597606666,0.999989120941339
"mu_raw[27]",1.11009921721912,0.00293338638417798,0.418014938164435,0.350693424815826,0.818901348812296,1.08993925891381,1.37773621650288,1.99255372114218,20306.9668738514,1.00001382320226
