"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"2-RDM-SVR-H",0,0,-1463.99769535084,38.0465661553604,74.216388081591,4.00269401302768,2927.99539070168,76.0931323107207
"2-RDM-SVD-H",-14.618812877496,8.97129613713754,-1478.61650822833,38.4758734460122,83.6695994957371,5.55736079335882,2957.23301645666,76.9517468920244
