"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"2-DD-SVR-H",0,0,-2486.27071681644,49.3004997586488,78.3158398465853,4.99948999706204,4972.54143363288,98.6009995172975
"2-DD-SVD-H",-127.09675599404,27.328259370335,-2613.36747281046,59.0094061140165,103.201038812072,15.1494470012713,5226.73494562093,118.018812228033
