"dataset","model_type","joint_elpd","joint_se","sep_elpd","sep_se","diff","se_diff","z","p","winner"
"1","SVD",-21522.8176352434,161.642129644665,-21042.2482708058,155.928975962568,-480.569364437648,224.593017747208,-2.1397342146164,0.0323762523282328,"Separate"
"1","SVR",-21376.8734131834,156.71794044591,-20618.3092775395,148.605628222375,-758.564135643861,215.972557508991,-3.51231723323127,0.000444217418275738,"Separate"
"2","SVD",-4236.53882585376,70.3720475290838,-4091.98398103879,70.4450342278466,-144.554844814967,99.5727267920193,-1.45175139289801,0.146570743681084,"Separate"
"2","SVR",-4104.43931423236,64.2805583470526,-3950.26841216728,62.2742360263596,-154.170902065076,89.498998061853,-1.72259919556338,0.0849610305828062,"Separate"
"3","SVD",-6498.15353129632,88.5116296977648,-6348.74381760482,87.6068013347322,-149.409713691502,124.536180412993,-1.19972937339192,0.23024446133711,"Separate"
"3","SVR",-6571.38216357139,87.3751709434839,-6333.46077521522,85.1854960682041,-237.921388356165,122.028641055242,-1.94971759333499,0.0512097881970491,"Separate"
