"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1-RDM-SVR-H",0,0,-11289.5151587342,103.955308956509,576.736204359748,15.6757706124691,22579.0303174684,207.910617913018
"1-RDM-SVD-H",-455.698340378415,53.9012470741241,-11745.2134991126,110.263780373948,716.318552835842,23.0502556992711,23490.4269982253,220.527560747895
