"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1-DD-SVD-H",0,0,-9297.03477169312,110.25309194023,804.37610751323,28.7125776322373,18594.0695433862,220.50618388046
"1-DD-SVR-H",-31.7593471121992,53.1525265844545,-9328.79411880534,106.192873956417,714.970628065247,24.7038960882503,18657.5882376107,212.385747912833
