"dataset","elpd_diff","se_diff","z","p","winner"
"1",-295.645268175459,47.5879332475069,-6.21260996223128,5.21116880035082e-10,"SVR"
"2",-94.4801061512381,11.4279050910921,-8.26749132042442,1.36807198597794e-16,"SVR"
"3",-132.080810765633,20.2686144805049,-6.51651897038514,7.19577130979987e-11,"SVR"
